阶段,计划时间,主要工作,负责人,完成标志
客户沟通,2026-05-07,了解需求并收集基础资料,陈晓,客户信息清单
技术初审,2026-05-08,确认项目范围、资质范围和主要风险,刘工,内部初审签字
报价,2026-05-08,发送报价并说明范围和不包含事项,陈晓,客户书面确认
合同,2026-05-11,签订合同并收集开票付款资料,陈晓,双方盖章合同
预付款,2026-05-13,确认6400元到账,财务,银行到账记录
进场准备,2026-05-14至05-15,人员车辆报备、仪器和安全用品检查、客户配合确认,项目组长,进场检查表
首次检测,2026-05-16,按批准方案和作业文件开展现场检测,项目组长,原始记录和照片完整
问题整理,2026-05-17,由检测人员确认技术结论并形成问题清单,项目组长和审核人,已审核问题清单
客户整改,2026-05-18至05-22,客户组织有资格人员整改并反馈资料,周海,整改记录和照片
复检,2026-05-23,对约定整改项进行复检,项目组长,复检原始记录
报告,2026-05-25,完成编制、审核、批准并交付,授权人员,正式报告
尾款,2026-05-29,确认6400元到账,财务,银行到账记录
归档回访,2026-05-30,归档全套资料并设置下次服务提醒,陈晓,归档目录和提醒记录
