项目,客户提供内容,是否已确认,备注
客户单位,安平仓储管理有限公司,是,
项目地址,海州市临港区兴业路88号,是,
联系人,周海,是,电话13800001111（虚构）
A仓库,单层普通仓库，建筑面积9800平方米,是,2025年检测后未改建
B仓库,单层普通仓库，建筑面积9600平方米,是,2025年检测后未改建
C仓库,单层普通仓库，建筑面积9400平方米,是,2026年2月新增屋面排风设备,需现场重点核对连接情况
办公楼,4层，建筑面积3200平方米,是,一层设总配电室
合计面积,32000平方米,是,
爆炸和火灾危险环境,客户表示没有,待技术人员结合资料和现场确认,业务员不能仅凭客户一句话下结论
去年报告,2025年6月10日出具的完整PDF已收到,是,报告编号AP-2025-0610
要求完成时间,2026年5月31日前取得正式报告,是,
进场时间,优先安排周六,是,需提前报备人员和车辆
屋面进入,可从室内楼梯进入,待现场勘查,雨天禁止上屋面
配电房,1处,是,需客户电工陪同
报告份数,电子版1份+纸质版2份,是,
开票信息,尚未提供,否,签合同前补齐
付款流程,尚未提供,否,报价确认时询问
